"Fon Kodu","Fon Adı","Fon Türü","Getiri (%)"
"AVD","AGESA HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","51,0187"
"AEH","AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","50,6672"
"BNL","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","50,6012"
"AJT","AXA HAYAT VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","50,4545"
"VGF","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","50,4103"
"CHA","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","50,3546"
"MHU","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","50,2777"
"ZHB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","50,0510"
"AJH","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","49,9508"
"TJY","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ÜÇÜNCÜ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU","Yaşam Döngüsü/Hedef Fon","49,9196"
"GHU","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","49,8447"
"AIE","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Katılım Değişken Fon","49,5999"
"BEO","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","48,8132"
"VVU","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","48,7602"
"AGH","BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","48,5419"
"HHM","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","48,3221"
"GHY","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","48,3143"
"ZHE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","48,1740"
"CHC","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","47,9487"
"KET","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","47,7735"
"FYN","AGESA HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","47,0235"
"HHN","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","46,9038"
"HHE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","46,8207"
"VEE","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","46,5841"
"VGH","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","46,1727"
"VEO","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","45,9503"
"BEF","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","45,7662"
"BEE","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","45,3276"
"CHI","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS DİNAMİK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","45,3188"
"VEH","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","44,7198"
"VGC","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","44,6831"
"HEC","AXA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","44,4572"
"CHN","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","43,8072"
"AAJ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","43,7104"
"AFH","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","43,4711"
"FIZ","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","43,3286"
"GEA","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","43,3010"
"VEV","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","43,2178"
"KOA","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","43,1872"
"RZM","AXA HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","42,8496"
"GCS","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","42,8206"
"MHE","METLİFE EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","42,6857"
"AGM","BEREKET EMEKLİLİK VE HAYAT A.Ş. MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","42,6667"
"AGB","BEREKET EMEKLİLİK VE HAYAT A.Ş. BÜYÜME KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","42,6413"
"FVI","HDI FİBA EMEKLİLİK VE HAYAT A.Ş ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU","Fon Sepeti Fonu","42,5587"
"KEG","KATILIM EMEKLİLİK VE HAYAT A.Ş. DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","42,4854"
"NHM","NN HAYAT VE EMEKLİLİK A.Ş. QINVEST PORTFÖY TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","42,2765"
"FYU","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","42,2556"
"BNZ","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","42,1244"
"AVH","AGESA HAYAT VE EMEKLİLİK A.Ş. BIST TEMETTÜ 25 ENDEKSİ EMEKLİLİK YATIRIM FONU","Endeks Fon","41,8615"
"FES","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","40,3834"
"CHU","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","40,0804"
"KEH","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","39,6137"
"VYB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","39,4531"
"AZS","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","38,9819"
"ANE","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","38,8917"
"VES","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","38,8797"
"AVN","AGESA HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","38,4314"
"CHS","QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","38,2183"
"GCK","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","37,7476"
"EHG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","37,0702"
"VEB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","36,3870"
"BNB","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","36,0047"
"AVO","AGESA HAYAT VE EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","35,6355"
"CFE","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","35,4599"
"MHZ","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","35,0250"
"HEK","AXA HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","35,0043"
"FEA","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ATLAS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","34,9593"
"AE2","AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","34,8781"
"ATK","ANADOLU HAYAT EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","34,5996"
"AHC","ANADOLU HAYAT EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Özel Sektör Borçlanma Araçları Fonu","34,4624"
"FGF","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","34,1009"
"GHD","GARANTİ EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","33,6350"
"AYJ","AGESA HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","33,1988"
"GKB","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Katılım Fonu","33,1264"
"MHI","METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","33,1165"
"GED","GARANTİ EMEKLİLİK VE HAYAT A.Ş. TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","32,9900"
"VED","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","32,9617"
"AFP","ANADOLU HAYAT EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","32,8219"
"FGH","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","32,5987"
"VGG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","32,2894"
"HHB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BIST-30 DIŞI ŞİRKETLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU","Hisse Senedi Fonu","32,2748"
"BEI","BEREKET EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","32,0414"
"KOS","ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","32,0000"
"EIG","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","31,9671"
"HEI","AXA HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","31,7485"
"GEK","GARANTİ EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","31,7402"
"GES","GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","30,5134"
"AGE","ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","30,2845"
"FIU","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","29,8502"
"AZK","ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","29,4836"
"IEB","NN HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","29,1181"
"VEU","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","28,9614"
"FIM","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. MÜKAFAT PORTFÖY KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","28,8419"
"BNS","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","28,6700"
"HEB","AXA HAYAT VE EMEKLİLİK A.Ş. DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","28,5290"
"MHS","METLİFE EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","28,3629"
"IEG","NN HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","27,8575"
"FIV","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS ATAK KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","27,2207"
"CHK","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","26,9042"
"IEK","NN HAYAT VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU","Karma Fon","26,5620"
"AH1","ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","26,5409"
"BEK","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. FİBA PORTFÖY BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","26,2090"
"CFC","QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","25,8226"
"KTZ","KATILIM EMEKLİLİK VE HAYAT A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","25,8096"
"GHZ","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","25,5439"
"HS1","ANADOLU HAYAT EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","25,3699"
"KEB","KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","24,5783"
"GHV","GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","24,1247"
"VGZ","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU","Oks Standart Fon","24,0020"
"BPG","BNP PARİBAS CARDİF EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","22,3136"
"ZHF","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","21,9400"
"HEE","AXA HAYAT VE EMEKLİLİK A.Ş. KATILIM DEĞİŞKEN EMEKLİLİK YATIRIM FONU","Değişken Fon","21,0867"
"VGK","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU","Oks Katılım Standart Fon","21,0415"
"AGD","BEREKET EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","19,4077"
"EST","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OYAK PORTFÖY STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","18,5125"
"ANG","VİENNALİFE EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","18,2761"
"FIS","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","17,7554"
"MHK","METLİFE EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","15,7109"
"VEK","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","15,6088"
"VGB","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU","Katılım Standart Fon","13,6752"
"ZHG","TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Kamu Borçlanma Araçları Fonu","5,3520"
"KKS","KATILIM EMEKLİLİK VE HAYAT A.Ş. KAMU KİRA SERTİFİKALARI KATILIM EMEKLİLİK YATIRIM FONU","Kamu Kira Sertifikası Fonu","5,3358"
"FEN","HDI FİBA EMEKLİLİK VE HAYAT A.Ş. STANDART EMEKLİLİK YATIRIM FONU","Standart Fon","-0,0420"
"AVK","AGESA HAYAT VE EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU","Borçlanma Araçları Fonu","-0,9846"
